,Start Date,End Date,High,Low,Entry Above High,Entry Below Low,Stop Loss Above Entry,Stop Loss Below Entry,Target Profit Above Entry,Target Profit Below Entry,Entry Date,Position,Entry_value
0,2023-07-26 09:45:00,2023-07-26 10:15:00,45995.85,45813.95,45995.85,45813.95,45813.95,45995.85,46268.7,45541.09999999999,,,
1,2023-07-26 10:45:00,2023-07-26 11:15:00,45944.75,45843.7,45944.75,45843.7,45843.7,45944.75,46096.325000000004,45692.12499999999,2023-07-26 11:45:00,Long,45944.75
2,2023-07-26 11:45:00,2023-07-26 12:15:00,45996.9,45890.6,45996.9,45890.6,45890.6,45996.9,46156.350000000006,45731.149999999994,,,
3,2023-07-26 12:45:00,2023-07-26 13:15:00,46034.0,45903.25,46034.0,45903.25,45903.25,46034.0,46230.125,45707.125,,,
4,2023-07-26 13:15:00,2023-07-26 13:45:00,46040.3,45931.35,46040.3,45931.35,45931.35,46040.3,46203.725000000006,45767.92499999999,,,
5,2023-07-26 13:45:00,2023-07-26 14:15:00,46095.9,45931.35,46095.9,45931.35,45931.35,46095.9,46342.725000000006,45684.524999999994,,,
