,date,open,high,low,close,volume
0,2023-07-03 09:15:00+05:30,44957.95,45220.75,44905.0,45207.2,0
1,2023-07-03 09:45:00+05:30,45209.0,45352.35,45177.0,45317.65,0
2,2023-07-03 10:15:00+05:30,45317.3,45328.65,45141.2,45161.65,0
3,2023-07-03 10:45:00+05:30,45160.95,45198.75,45088.4,45096.2,0
4,2023-07-03 11:15:00+05:30,45098.55,45158.55,45041.0,45116.25,0
5,2023-07-03 11:45:00+05:30,45114.6,45184.3,45096.8,45149.25,0
6,2023-07-03 12:15:00+05:30,45149.8,45213.5,45097.3,45199.5,0
7,2023-07-03 12:45:00+05:30,45206.5,45240.2,45144.2,45206.0,0
8,2023-07-03 13:15:00+05:30,45204.6,45256.85,45161.5,45243.75,0
9,2023-07-03 13:45:00+05:30,45244.55,45272.05,45138.65,45152.85,0
10,2023-07-03 14:15:00+05:30,45153.85,45223.3,45129.2,45168.7,0
11,2023-07-03 14:45:00+05:30,45169.0,45187.45,45101.1,45142.5,0
12,2023-07-03 15:15:00+05:30,45143.15,45190.9,45139.2,45176.35,0
13,2023-07-04 09:15:00+05:30,45310.55,45356.85,45151.05,45151.05,0
14,2023-07-04 09:45:00+05:30,45144.55,45172.35,45002.45,45113.05,0
15,2023-07-04 10:15:00+05:30,45114.2,45214.9,45082.05,45210.15,0
16,2023-07-04 10:45:00+05:30,45208.05,45304.15,45195.05,45276.5,0
17,2023-07-04 11:15:00+05:30,45281.55,45327.8,45234.1,45284.65,0
18,2023-07-04 11:45:00+05:30,45291.3,45435.65,45284.5,45423.1,0
19,2023-07-04 12:15:00+05:30,45415.0,45482.9,45411.35,45470.6,0
20,2023-07-04 12:45:00+05:30,45468.0,45484.5,45413.85,45450.1,0
21,2023-07-04 13:15:00+05:30,45456.3,45655.5,45443.35,45547.3,0
22,2023-07-04 13:45:00+05:30,45547.25,45576.3,45321.8,45321.8,0
23,2023-07-04 14:15:00+05:30,45311.25,45392.4,45220.85,45356.3,0
24,2023-07-04 14:45:00+05:30,45359.25,45368.0,45271.85,45300.35,0
25,2023-07-04 15:15:00+05:30,45299.75,45315.45,45231.3,45283.6,0
26,2023-07-05 09:15:00+05:30,45169.7,45416.35,45109.45,45250.8,0
27,2023-07-05 09:45:00+05:30,45249.8,45261.3,45166.15,45244.7,0
28,2023-07-05 10:15:00+05:30,45244.45,45254.4,45140.4,45177.7,0
29,2023-07-05 10:45:00+05:30,45175.8,45246.25,45139.5,45181.45,0
30,2023-07-05 11:15:00+05:30,45181.0,45243.1,45137.2,45212.85,0
31,2023-07-05 11:45:00+05:30,45212.0,45271.55,45152.3,45222.1,0
32,2023-07-05 12:15:00+05:30,45223.05,45256.55,45167.35,45203.8,0
33,2023-07-05 12:45:00+05:30,45202.3,45228.6,45158.65,45223.7,0
34,2023-07-05 13:15:00+05:30,45224.65,45225.15,45088.75,45162.7,0
35,2023-07-05 13:45:00+05:30,45155.45,45219.6,45121.5,45183.3,0
36,2023-07-05 14:15:00+05:30,45182.65,45195.5,45088.5,45102.95,0
37,2023-07-05 14:45:00+05:30,45100.45,45173.95,45074.75,45173.95,0
38,2023-07-05 15:15:00+05:30,45172.65,45201.55,45158.8,45197.3,0
39,2023-07-06 09:15:00+05:30,45060.55,45177.15,45047.55,45101.35,0
40,2023-07-06 09:45:00+05:30,45100.55,45220.6,45098.65,45182.5,0
41,2023-07-06 10:15:00+05:30,45180.65,45186.6,45084.85,45111.25,0
42,2023-07-06 10:45:00+05:30,45114.4,45205.05,45106.45,45175.9,0
43,2023-07-06 11:15:00+05:30,45174.8,45321.65,45166.65,45305.0,0
44,2023-07-06 11:45:00+05:30,45304.45,45339.4,45272.15,45295.35,0
45,2023-07-06 12:15:00+05:30,45296.65,45319.25,45225.45,45227.0,0
46,2023-07-06 12:45:00+05:30,45230.3,45313.55,45213.25,45213.25,0
47,2023-07-06 13:15:00+05:30,45215.45,45272.15,45190.9,45239.6,0
48,2023-07-06 13:45:00+05:30,45236.4,45310.4,45228.65,45262.35,0
49,2023-07-06 14:15:00+05:30,45263.75,45384.85,45245.3,45317.75,0
50,2023-07-06 14:45:00+05:30,45319.1,45389.1,45248.05,45363.75,0
51,2023-07-06 15:15:00+05:30,45363.05,45406.35,45307.35,45314.85,0
52,2023-07-07 09:15:00+05:30,45118.05,45226.4,45070.85,45185.2,0
53,2023-07-07 09:45:00+05:30,45187.9,45222.9,45134.8,45176.45,0
54,2023-07-07 10:15:00+05:30,45176.2,45179.85,45060.6,45063.35,0
55,2023-07-07 10:45:00+05:30,45060.75,45065.35,44917.65,44992.9,0
56,2023-07-07 11:15:00+05:30,44991.9,45027.4,44911.15,44928.7,0
57,2023-07-07 11:45:00+05:30,44930.85,44961.2,44846.1,44930.65,0
58,2023-07-07 12:15:00+05:30,44929.85,44957.65,44853.75,44878.8,0
59,2023-07-07 12:45:00+05:30,44878.6,44929.5,44878.6,44900.4,0
60,2023-07-07 13:15:00+05:30,44900.85,44978.5,44888.1,44920.0,0
61,2023-07-07 13:45:00+05:30,44919.25,44964.15,44888.1,44933.25,0
62,2023-07-07 14:15:00+05:30,44933.05,45047.4,44926.75,45044.75,0
63,2023-07-07 14:45:00+05:30,45043.2,45089.7,44913.8,44920.55,0
64,2023-07-07 15:15:00+05:30,44918.05,44931.7,44849.55,44892.1,0
65,2023-07-10 09:15:00+05:30,44958.65,45158.05,44901.1,45114.25,0
66,2023-07-10 09:45:00+05:30,45112.0,45182.75,45063.9,45111.95,0
67,2023-07-10 10:15:00+05:30,45114.65,45116.85,44968.3,45031.1,0
68,2023-07-10 10:45:00+05:30,45025.05,45050.45,44950.1,44959.45,0
69,2023-07-10 11:15:00+05:30,44958.7,44958.7,44793.85,44860.45,0
70,2023-07-10 11:45:00+05:30,44861.5,44880.35,44770.3,44820.45,0
71,2023-07-10 12:15:00+05:30,44817.65,44860.15,44757.8,44827.2,0
72,2023-07-10 12:45:00+05:30,44833.0,44897.6,44794.95,44891.1,0
73,2023-07-10 13:15:00+05:30,44897.7,44946.7,44866.5,44906.9,0
74,2023-07-10 13:45:00+05:30,44908.15,44930.5,44820.25,44889.5,0
75,2023-07-10 14:15:00+05:30,44893.2,44893.6,44766.9,44774.15,0
76,2023-07-10 14:45:00+05:30,44772.3,44893.35,44726.8,44881.35,0
77,2023-07-10 15:15:00+05:30,44883.4,44924.75,44849.65,44869.45,0
78,2023-07-11 09:15:00+05:30,44998.0,45075.0,44943.55,45020.05,0
79,2023-07-11 09:45:00+05:30,45017.75,45050.95,44987.65,45023.6,0
80,2023-07-11 10:15:00+05:30,45022.75,45060.55,45000.25,45041.15,0
81,2023-07-11 10:45:00+05:30,45040.05,45098.85,45023.3,45094.15,0
82,2023-07-11 11:15:00+05:30,45092.4,45118.6,45037.35,45096.9,0
83,2023-07-11 11:45:00+05:30,45092.55,45137.9,45068.6,45092.0,0
84,2023-07-11 12:15:00+05:30,45088.2,45108.15,45027.85,45053.25,0
85,2023-07-11 12:45:00+05:30,45052.0,45093.7,45021.9,45064.75,0
86,2023-07-11 13:15:00+05:30,45063.95,45088.95,44965.45,44975.5,0
87,2023-07-11 13:45:00+05:30,44975.15,45005.1,44920.55,44930.5,0
