,symboltoken,symbolname,instrumenttype,priceden,pricenum,genden,gennum,precision,multiplier,boardlotsize,exchange,producttype,tradingsymbol,symbolgroup,strikeprice,optiontype,expirydate,lotsize,cfbuyqty,cfsellqty,cfbuyamount,cfsellamount,buyavgprice,sellavgprice,avgnetprice,netvalue,netqty,totalbuyvalue,totalsellvalue,cfbuyavgprice,cfsellavgprice,totalbuyavgprice,totalsellavgprice,netprice,buyqty,sellqty,buyamount,sellamount,pnl,realised,unrealised,ltp,close
0,37187,BANKNIFTY,OPTIDX,1.00,1.00,1.00,1.00,2,-1,1,NFO,INTRADAY,BANKNIFTY20JUL2345600CE,XX,45600.0,CE,20JUL2023,25,0,0,0.00,0.00,348.55,242.20,0.00,-2658.75,0,8713.75,6055.00,0.00,0.00,348.55,242.20,0.00,25,25,8713.75,6055.00,-2658.75,-2658.75,0.00,134.0,158.95
1,60495,BANKNIFTY,OPTIDX,1.00,1.00,1.00,1.00,2,-1,1,NFO,CARRYFORWARD,BANKNIFTY31AUG2345000CE,XX,45000.0,CE,31AUG2023,15,30,0,32885.54,0.00,0.00,1444.47,1444.47,10448.71,0,32885.54,43334.25,1096.18,0.00,1096.18,1444.47,0.00,0,30,0.00,43334.25,10448.70,10448.70,0.00,1121.0,1153.95
