date,open,high,low,close,volume
2023-06-01 09:15:00+05:30,18579.4,18579.4,18514.75,18565.6,0
2023-06-01 09:45:00+05:30,18566.0,18579.1,18558.85,18559.3,0
2023-06-01 10:15:00+05:30,18558.0,18576.6,18549.9,18567.6,0
2023-06-01 10:45:00+05:30,18568.4,18573.85,18557.65,18569.0,0
2023-06-01 11:15:00+05:30,18568.85,18580.05,18554.55,18559.25,0
2023-06-01 11:45:00+05:30,18559.65,18572.8,18530.7,18537.3,0
2023-06-01 12:15:00+05:30,18537.25,18561.25,18531.25,18552.05,0
2023-06-01 12:45:00+05:30,18552.75,18554.3,18542.8,18550.8,0
2023-06-01 13:15:00+05:30,18551.25,18565.3,18546.7,18550.15,0
2023-06-01 13:45:00+05:30,18550.2,18550.75,18519.95,18524.0,0
2023-06-01 14:15:00+05:30,18524.8,18531.4,18510.25,18512.4,0
2023-06-01 14:45:00+05:30,18512.35,18530.15,18491.3,18491.35,0
2023-06-01 15:15:00+05:30,18491.85,18491.85,18465.35,18486.1,0
2023-06-02 09:15:00+05:30,18550.85,18573.25,18541.45,18551.55,0
2023-06-02 09:45:00+05:30,18552.6,18556.1,18485.85,18492.3,0
2023-06-02 10:15:00+05:30,18492.4,18508.55,18478.5,18505.2,0
2023-06-02 10:45:00+05:30,18505.35,18519.7,18500.1,18515.25,0
2023-06-02 11:15:00+05:30,18515.15,18530.0,18503.75,18521.75,0
2023-06-02 11:45:00+05:30,18521.8,18537.75,18516.9,18528.9,0
2023-06-02 12:15:00+05:30,18527.55,18537.35,18515.2,18528.8,0
2023-06-02 12:45:00+05:30,18528.45,18553.25,18527.0,18545.3,0
2023-06-02 13:15:00+05:30,18544.9,18564.15,18541.3,18560.85,0
2023-06-02 13:45:00+05:30,18561.25,18567.5,18535.15,18540.8,0
2023-06-02 14:15:00+05:30,18540.95,18540.95,18495.55,18514.3,0
2023-06-02 14:45:00+05:30,18514.5,18556.1,18514.05,18537.25,0
2023-06-02 15:15:00+05:30,18537.55,18538.5,18511.95,18525.85,0
2023-06-05 09:15:00+05:30,18612.0,18635.05,18583.3,18605.3,0
2023-06-05 09:45:00+05:30,18605.0,18623.9,18604.8,18618.3,0
2023-06-05 10:15:00+05:30,18617.75,18630.25,18609.2,18615.05,0
2023-06-05 10:45:00+05:30,18615.05,18636.35,18614.2,18631.5,0
2023-06-05 11:15:00+05:30,18631.45,18639.4,18622.05,18625.65,0
2023-06-05 11:45:00+05:30,18625.3,18631.75,18616.25,18625.9,0
2023-06-05 12:15:00+05:30,18626.4,18629.3,18606.25,18611.1,0
2023-06-05 12:45:00+05:30,18610.9,18615.9,18602.95,18606.55,0
2023-06-05 13:15:00+05:30,18606.4,18619.65,18605.25,18610.1,0
2023-06-05 13:45:00+05:30,18610.25,18629.65,18606.1,18617.9,0
2023-06-05 14:15:00+05:30,18618.6,18624.55,18610.95,18617.1,0
2023-06-05 14:45:00+05:30,18617.05,18621.25,18585.95,18593.25,0
2023-06-05 15:15:00+05:30,18593.55,18603.6,18585.45,18599.9,0
2023-06-06 09:15:00+05:30,18600.8,18617.75,18583.85,18610.15,0
2023-06-06 09:45:00+05:30,18610.55,18612.65,18571.5,18580.6,0
2023-06-06 10:15:00+05:30,18580.0,18581.5,18564.8,18565.1,0
2023-06-06 10:45:00+05:30,18564.95,18568.7,18545.7,18551.4,0
2023-06-06 11:15:00+05:30,18550.8,18560.0,18539.65,18546.05,0
2023-06-06 11:45:00+05:30,18545.8,18547.85,18531.95,18541.6,0
2023-06-06 12:15:00+05:30,18541.1,18555.1,18534.3,18547.0,0
2023-06-06 12:45:00+05:30,18546.55,18559.25,18540.55,18556.65,0
2023-06-06 13:15:00+05:30,18556.95,18566.7,18543.55,18558.4,0
2023-06-06 13:45:00+05:30,18558.1,18565.5,18542.95,18551.55,0
2023-06-06 14:15:00+05:30,18551.15,18564.2,18549.95,18550.85,0
2023-06-06 14:45:00+05:30,18550.8,18613.15,18549.5,18608.6,0
2023-06-06 15:15:00+05:30,18609.3,18622.05,18604.25,18617.1,0
2023-06-07 09:15:00+05:30,18665.6,18675.4,18637.05,18662.55,0
2023-06-07 09:45:00+05:30,18663.35,18663.35,18646.05,18661.2,0
2023-06-07 10:15:00+05:30,18660.9,18666.4,18646.2,18646.25,0
2023-06-07 10:45:00+05:30,18646.25,18665.8,18636.5,18661.6,0
2023-06-07 11:15:00+05:30,18661.25,18667.95,18647.25,18653.9,0
2023-06-07 11:45:00+05:30,18653.4,18666.95,18652.8,18657.7,0
2023-06-07 12:15:00+05:30,18656.85,18670.65,18655.4,18669.2,0
2023-06-07 12:45:00+05:30,18669.6,18685.4,18668.55,18682.65,0
2023-06-07 13:15:00+05:30,18682.3,18684.8,18664.05,18669.85,0
2023-06-07 13:45:00+05:30,18670.0,18693.1,18665.8,18685.65,0
2023-06-07 14:15:00+05:30,18685.85,18715.8,18684.7,18715.0,0
2023-06-07 14:45:00+05:30,18715.05,18729.95,18705.1,18726.95,0
2023-06-07 15:15:00+05:30,18727.1,18738.75,18718.55,18730.35,0
2023-06-08 09:15:00+05:30,18725.35,18752.05,18724.6,18740.85,0
2023-06-08 09:45:00+05:30,18739.95,18760.65,18739.95,18753.3,0
2023-06-08 10:15:00+05:30,18753.35,18775.35,18752.8,18770.3,0
2023-06-08 10:45:00+05:30,18769.6,18777.8,18764.55,18765.85,0
2023-06-08 11:15:00+05:30,18766.0,18770.65,18727.65,18727.65,0
2023-06-08 11:45:00+05:30,18727.7,18736.3,18685.25,18701.35,0
2023-06-08 12:15:00+05:30,18700.9,18708.9,18682.2,18697.3,0
2023-06-08 12:45:00+05:30,18697.0,18700.65,18676.6,18684.4,0
2023-06-08 13:15:00+05:30,18684.7,18702.9,18680.95,18702.9,0
2023-06-08 13:45:00+05:30,18703.0,18723.75,18682.0,18692.65,0
2023-06-08 14:15:00+05:30,18691.95,18695.7,18675.0,18683.75,0
2023-06-08 14:45:00+05:30,18684.0,18685.5,18624.45,18624.6,0
2023-06-08 15:15:00+05:30,18624.5,18651.6,18615.95,18646.9,0
2023-06-09 09:15:00+05:30,18655.9,18676.25,18609.75,18623.75,0
2023-06-09 09:45:00+05:30,18623.95,18665.3,18623.95,18641.2,0
2023-06-09 10:15:00+05:30,18640.4,18641.8,18617.95,18627.3,0
2023-06-09 10:45:00+05:30,18626.65,18627.3,18600.5,18612.05,0
2023-06-09 11:15:00+05:30,18612.1,18629.95,18612.1,18624.2,0
2023-06-09 11:45:00+05:30,18624.2,18638.45,18619.3,18634.75,0
2023-06-09 12:15:00+05:30,18635.15,18646.1,18615.95,18616.8,0
2023-06-09 12:45:00+05:30,18616.9,18616.95,18596.1,18610.5,0
2023-06-09 13:15:00+05:30,18609.65,18615.5,18584.8,18599.3,0
2023-06-09 13:45:00+05:30,18599.7,18603.9,18570.6,18575.9,0
2023-06-09 14:15:00+05:30,18574.2,18592.65,18555.7,18572.65,0
2023-06-09 14:45:00+05:30,18572.7,18578.8,18560.4,18564.35,0
2023-06-09 15:15:00+05:30,18564.25,18571.35,18557.25,18567.3,0
2023-06-12 09:15:00+05:30,18595.05,18622.95,18560.8,18582.0,0
2023-06-12 09:45:00+05:30,18583.45,18590.9,18568.8,18578.35,0
2023-06-12 10:15:00+05:30,18579.0,18612.1,18575.0,18593.85,0
2023-06-12 10:45:00+05:30,18593.7,18611.1,18590.1,18610.3,0
2023-06-12 11:15:00+05:30,18610.55,18613.8,18599.0,18609.6,0
2023-06-12 11:45:00+05:30,18609.3,18620.75,18603.95,18605.9,0
